time,price,volume
9/17/13,139.485,676916.5
9/18/13,140.1425,668938.95
9/19/13,136.95,1441676.2
9/20/13,134.285,747804.23
9/21/13,134.045,343880.225
9/22/13,133.595,394134.375
9/23/13,133.6,402730.08
9/24/13,134.3175,578655.215
9/25/13,135.62,651587.495
9/26/13,136.4525,446722.42
9/27/13,138.38,1892386.155
9/28/13,140.6125,966271.92
9/29/13,143.3875,1314709.95
9/30/13,142.4275,1040997.41
10/1/13,141.5125,677068.88
10/2/13,128.7325,7000124.155
10/3/13,126.5225,2261898.7
10/4/13,134.0275,1255004.845
10/5/13,136.705,342331.97
10/6/13,136.65,335200.98
10/7/13,136.93,506820.13
10/8/13,136.43,356349.19
10/9/13,138.4725,1224421.765
10/10/13,140.0275,781234.325
10/11/13,140.3075,510178.615
10/12/13,141.3575,785248.565
10/13/13,144.8925,1179108.465
10/14/13,149.655,2271408.58
10/15/13,154.545,1216097.485
10/16/13,154.525,3339506.275
10/17/13,155.275,1243135.365
10/18/13,162.6625,2125699.475
10/19/13,178.5775,5027980.795
10/20/13,183.1475,1049263.12
10/21/13,189.8575,2318821.2
10/22/13,198.515,3397850.1
10/23/13,214.91,4283168.195
10/24/13,210.9075,9872989.21
10/25/13,197.6075,3485539.86
10/26/13,192.96,1167510.2
10/27/13,198.0575,1323306.265
10/28/13,206.005,1149165.105
10/29/13,210.9,1064664.175
10/30/13,211.12,1433687.65
10/31/13,209.8975,563268.025
11/1/13,212.315,628831.65
11/2/13,212.745,523088.72
11/3/13,218.685,1353614.63
11/4/13,230.7725,2092986.42
11/5/13,244.3325,5569856.5
11/6/13,259.8325,5131301.15
11/7/13,290.39,12834509.6
11/8/13,332.665,7558327.66
11/9/13,364.4425,9238843.04
11/10/13,341.6475,12149767.33
11/11/13,349.175,3174309.025
11/12/13,373.445,4165919.105
11/13/13,408.0075,7408102.805
11/14/13,429.57,6742290.44
11/15/13,434.5525,6150936.165
11/16/13,450.2,4378485.38
11/17/13,495.9975,6683607.13
11/18/13,655.91,22766836.08
11/19/13,708.6625,34597299.86
11/20/13,596.735,25419885.84
11/21/13,695.5975,13583507.55
11/22/13,767.795,11358556.5
11/23/13,831.0175,8964697.715
11/24/13,806.9275,10400991.9
11/25/13,808.485,10732526.19
11/26/13,899.9975,14158733
11/27/13,1014.725,18953251.06
11/28/13,1109.4525,21474890.13
11/29/13,1150.0475,22534669.76
11/30/13,1198.9225,9140849.13
12/1/13,1066.79,41662205.24
12/2/13,1048.4125,19635953.83
12/3/13,1125.49,10942550.76
12/4/13,1190.865,9713031.78
12/5/13,1113.4375,31175681.44
12/6/13,967.5925,25400340.09
12/7/13,753.5075,35412372.84
12/8/13,745.7425,11537803.8
12/9/13,872.6675,12290417.06
12/10/13,983.0825,10878548.63
12/11/13,966.6175,11537792.45
12/12/13,900.1,4404098.415
12/13/13,927.1875,8095502.685
12/14/13,917.1875,5271848.265
12/15/13,898.675,6658619.965
12/16/13,829.6925,16470238.82
12/17/13,733.4325,11482809.91
12/18/13,606.95,31319766.78
12/19/13,635.3325,15012901.63
12/20/13,694.3875,12162907.91
12/21/13,647.61,4782574.43
12/22/13,648.7075,3852617.335
12/23/13,677.165,5112727.53
12/24/13,702.9775,3829098.2
12/25/13,698.47,1863579.325
12/26/13,761.5175,9116410.505
12/27/13,802.4325,5543744.515
12/28/13,771.6525,5070612.53
12/29/13,771.47,2727807.73
12/30/13,797.395,4211134.7
12/31/13,800.4175,3651585.97
1/1/14,805.695,4337306.605
1/2/14,842.3825,5419859.795
1/3/14,867.21,4209669.06
1/4/14,897.3575,6399432.945
1/5/14,970.1625,10405369.36
1/6/14,1021.3925,11822657.09
1/7/14,954.095,10888293.35
1/8/14,911.135,6478174.865
1/9/14,926.745,6608517.205
1/10/14,941.3575,2957729.635
1/11/14,977.23,5479678.44
1/12/14,972.4625,4815010.6
1/13/14,922.97,4615512.13
1/14/14,922.2125,1982472.555
1/15/14,937.1625,3227445.505
1/16/14,930.185,2362555.68
1/17/14,901.155,4606709.77
1/18/14,902.34,2749891.755
1/19/14,930.1175,3539610.31
1/20/14,954.3125,4995844.64
1/21/14,958.8975,3147803.45
1/22/14,955.5125,2254106.1
1/23/14,947.36,920794.355
1/24/14,928.28,2845122.1
1/25/14,942.9675,3902644.885
1/26/14,989.1925,6533839.685
1/27/14,977.305,4030521.315
1/28/14,940.12,4884010.035
1/29/14,931.9425,2630278.385
1/30/14,932.44,2515943.51
1/31/14,939.885,2014529.85
2/1/14,944.065,2061615.09
2/2/14,946.88,748455.45
2/3/14,944.0675,1302287.11
2/4/14,927.0525,2127680.275
2/5/14,915.24,3436772.78
2/6/14,860.7725,7869278.605
2/7/14,752.33,18231059.53
2/8/14,673.9425,7763333.465
2/9/14,656.25,6603068.355
2/10/14,610.57,12187087.13
2/11/14,580.38,4819273.31
2/12/14,551.7775,5824967.99
2/13/14,495.775,7211703.105
2/14/14,420.3325,12575021.5
2/15/14,389.1925,9174846.545
2/16/14,357.8175,13176901.56
2/17/14,311.6625,8291832.855
2/18/14,296.165,7089502.48
2/19/14,280.3375,4324900.89
2/20/14,188.57,8355265.475
2/21/14,118.8225,5099256.82
2/22/14,188.615,5955197.535
2/23/14,283.805,5598628.295
2/24/14,233.225,9012201.86
2/25/14,146.6875,2011725.015
2/26/14,475.44,192086.865
2/27/14,600.0075,161692.58
2/28/14,584.8575,160838.01
3/1/14,489.5425,125367.86
3/2/14,551.605,235162.69
3/3/14,611.9,398119.835
3/4/14,663.8525,474347.41
3/5/14,655.7225,428523.575
3/6/14,651.1525,684734.175
3/7/14,630.125,750313.475
3/8/14,610.05,669074.445
3/9/14,618.0925,605971.86
3/10/14,617.1,825803.835
3/11/14,610.32,761582.765
3/12/14,619.2775,1012794.415
3/13/14,624.165,1085909.23
3/14/14,620.2275,1259110.025
3/15/14,619.0175,1086096.54
3/16/14,620.905,1029343.55
3/17/14,612.6875,1115350.2
3/18/14,600.6725,1118987.18
3/19/14,597.7775,1084157.46
3/20/14,579.9275,1237857.86
3/21/14,560.8075,1088843.915
3/22/14,555.265,1041062.875
3/23/14,554.6125,1145134.735
3/24/14,555.6275,1014035.58
3/25/14,562.635,1088028.39
3/26/14,561.755,1045658.13
3/27/14,512.775,1007338.835
3/28/14,477.94,1013187.86
3/29/14,481.945,1046034.355
3/30/14,456.775,886815.415
3/31/14,446.875,927370.905
4/1/14,458.3725,924903.195
4/2/14,444.335,1004267.64
4/3/14,424.0225,856281.91
4/4/14,438.16,564938.07
4/5/14,450.3825,265561.025
4/6/14,457.75,824219.265
4/7/14,462.7775,925968.395
4/8/14,466.8,921755.6
4/9/14,463.6575,906572.215
4/10/14,422.5125,775400.505
4/11/14,406.47,1090202.955
4/12/14,442.66,1149349.77
4/13/14,432.3125,1074059.6
4/14/14,455.9725,1776941.28
4/15/14,499.4675,1976935.39
4/16/14,527.1275,2100355.505
4/17/14,515.7175,2052789.745
4/18/14,492.9175,2060593.17
4/19/14,495.3975,2081652.4
4/20/14,503.86,1943441.345
4/21/14,502.25,1848022.455
4/22/14,496.7425,1415124.135
4/23/14,491.855,1172600.63
4/24/14,493.035,1039802.03
4/25/14,476.4,1503336.09
4/26/14,459.9025,1582217.105
4/27/14,449.96,1580941.62
4/28/14,439.25,1004748.645
